Indication,Generic,Brand,NADAC,NADAC_amount,NADAC_unit,extra_notes
Insulin secretion promoter,ACARBOSE,Precose,0.35696,"""100 MG TABLET""",EA,
Insulin and analogue,CANAGLIFLOZIN,Invokana,11.69489,"""100 MG TABLET""",EA,
Insulin secretion promoter,EXENATIDE,Byetta,232.59452,"""5 MCG DOSE PEN INJ""",ML,
Insulin secretion promoter,EXENATIDE,Bydureon,132.63259,"""2 MG PEN INJECT""",EA,
Insulin secretion promoter,GLIMEPIRIDE,Amaryl,1.92327,"""2 MG""",EA,
Insulin secretion promoter,GLIPIZIDE,Glucotrol,2.15951,"""10 MG TABLET""",EA,
Insulin and analogue,INSULINASPART,NovoLog,28.32262,"""100 UNIT/ML CARTRIDGE""",ML,
Insulin and analogue,INSULINDETEMIR,Levemir,26.0742,"""FLEXPEN 100 UNITS/ML""",ML,
Insulin and analogue,INSULINGLARGINE,Lantus,24.03334,"""100 UNITS/ML VIAL""",ML,
Insulin and analogue,INSULINGLULISINE,Apidra,23.0128,"""100 UNITS/ML VIAL""",ML,
Postprandial hyperglycemia improving agent,INSULINLISPRO,Humalog,28.18821,"""100 UNITS/ML CARTRIDGE""",ML,
Insulin secretion promoter,LINAGLIPTIN,Tradjenta,11.55171,"""5 MG TABLET""",EA,
Insulin secretion promoter,LIRAGLUTIDE,Victoza,74.33888,"""2-PAK 18 MG/3 ML PEN""",ML,
Insulin secretion promoter,LIRAGLUTIDE,Saxenda,69.23823,"""18 MG/3 ML PEN""",ML,
Insulin sensitizer,METFORMIN,Glumetza,49.63176,"""500 MG TABLET""",EA,
Insulin sensitizer,METFORMIN,Riomet,1.27914,"""500 MG/5 ML SOLUTION""",ML,
Insulin sensitizer,METFORMIN,Glucophage,0.96399,"""500 MG TABLET""",EA,
Insulin and analogue,NATEGLINIDE,Starlix,2.92838,"""120 MG TABLET""",EA,
Insulin secretion promoter,PIOGLITAZONE,Actos,11.02736,"""15 MG TABLET""",EA,
Urine sugar eliminant,REPAGLINIDE,Prandin,5.90474,"""1 MG TABLET""",EA,
Insulin and analogue,ROSIGLITAZONE,Avandia,4.79956,""" 4 MG TABLET""",EA,removed from markets in Europe
Insulin secretion promoter,SAXAGLIPTIN,Onglyza,11.74759,"""2.5 MG TABLET""",EA,
Insulin secretion promoter,SITAGLIPTIN,Juvisync,discontinued,discontinued,discontinued,discontinued
