Class,Class2,Class3,Generic_name
Insulin and analogue,Insulin analogue,fast-acting,Insulin lispro
Insulin and analogue,Insulin analogue,fast-acting,Insulin aspart
Insulin and analogue,Insulin analogue,fast-acting,Insulin glulisine
Insulin and analogue,Insulin analogue,intermediate-acting,Insulin lispro
Insulin and analogue,Insulin analogue,long-acting,Insulin glargine
Insulin and analogue,Insulin analogue,long-acting,Insulin detemir
Insulin and analogue,Insulin analogue,long-acting,Insulin degludec
Insulin and analogue,Human insulin,fast-acting,Insulin human
Insulin sensitizer,Biguanide,Biguanide,Metformin
Insulin sensitizer,Biguanide,Biguanide,Buformin
Insulin sensitizer,Thiazolidine,Thiazolidine,Rosiglitazone
Insulin sensitizer,Thiazolidine,Thiazolidine,Pioglitazone
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Sitagliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Vildagliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Saxagliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Alogliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Linagliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Teneligliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Anagliptin
Insulin secretion promoter,DPP-4 inhibitor(DG01601),DPP-4 inhibitor(DG01601),Trelagliptin
Insulin secretion promoter,Sulfonylurea (SU),first generation,Chlorpropamide
Insulin secretion promoter,Sulfonylurea (SU),first generation,Tolbutamide
Insulin secretion promoter,Sulfonylurea (SU),first generation,Acetohexamide
Insulin secretion promoter,Sulfonylurea (SU),first generation,Glyclopyramide
Insulin secretion promoter,Sulfonylurea (SU),second generation,Glyburide
Insulin secretion promoter,Sulfonylurea (SU),second generation,Gliclazide
Insulin secretion promoter,Sulfonylurea (SU),third generation,Glimepiride
Insulin secretion promoter,Sulfonylurea (SU),third generation,Tolazamide
Insulin secretion promoter,Sulfonylurea (SU),third generation,Glipizide
Insulin secretion promoter,GLP-1 receptor agonist,GLP-1 receptor agonist,Exenatide
Insulin secretion promoter,GLP-1 receptor agonist,GLP-1 receptor agonist,Liraglutide
Insulin secretion promoter,GLP-1 receptor agonist,GLP-1 receptor agonist,Lixisenatide
Insulin secretion promoter,GLP-1 receptor agonist,GLP-1 receptor agonist,Albiglutide
Insulin secretion promoter,GLP-1 receptor agonist,GLP-1 receptor agonist,Dulaglutide
Postprandial hyperglycemia improving agent,"Insulin secretion promoter, fast-acting",Glinide(DG01735),Repaglinide
Postprandial hyperglycemia improving agent,"Insulin secretion promoter, fast-acting",Glinide(DG01735),Nateglinide
Postprandial hyperglycemia improving agent,"Insulin secretion promoter, fast-acting",Glinide(DG01735),Mitiglinide
Postprandial hyperglycemia improving agent,Polysaccharide-degrading enzyme inhibitor,Alpha-glucosidase inhibitor(DG01663)),Acarbose
Postprandial hyperglycemia improving agent,Polysaccharide-degrading enzyme inhibitor,Alpha-glucosidase inhibitor(DG01663)),Miglitol
Postprandial hyperglycemia improving agent,Polysaccharide-degrading enzyme inhibitor,Alpha-glucosidase inhibitor(DG01663)),Voglibose
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Dapagliflozin
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Canagliflozin
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Empagliflozin
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Tofogliflozin
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Luseogliflozin
Urine sugar eliminant,Urine sugar eliminant,SGLT2 inhibitor(DG01794),Ipragliflozin
